County,Age Group,Race/Ethnicity,Dose,Residents Vaccinated,Population,Coverage
Alpena,20-29 years,NH White,Up-To-Date,89,2776,3.21%
Alpena,30-39 years,Hispanic,At Least One Dose,33,72,45.83%
Alpena,30-39 years,NH White,At Least One Dose,1150,2856,40.27%
Alpena,30-39 years,NH White,Up-To-Date,167,2856,5.85%
Alpena,40-49 years,NH White,At Least One Dose,1163,2953,39.38%
Alpena,40-49 years,NH White,Up-To-Date,190,2953,6.43%
Alpena,5-11 years,NH White,At Least One Dose,278,1863,14.92%
Alpena,5-11 years,NH White,Up-To-Date,50,1863,2.68%
Alpena,50-64 years,Hispanic,At Least One Dose,36,54,66.67%
Alpena,50-64 years,NH White,At Least One Dose,2767,6225,44.45%
Alpena,50-64 years,NH White,Up-To-Date,843,6225,13.54%
Alpena,65-74 years,NH White,At Least One Dose,2512,3884,64.68%
Alpena,65-74 years,NH White,Up-To-Date,1212,3884,31.2%
Alpena,75+ years,NH White,At Least One Dose,2271,2968,76.52%
Alpena,75+ years,NH White,Up-To-Date,1120,2968,37.74%
Alpena,under 5 years,NH White,At Least One Dose,48,1226,3.92%
Antrim,12-15 years,NH White,At Least One Dose,255,970,26.29%
Antrim,12-15 years,NH White,Up-To-Date,36,970,3.71%
Antrim,16-19 years,NH White,At Least One Dose,373,867,43.02%
Antrim,16-19 years,NH White,Up-To-Date,53,867,6.11%
Antrim,20-29 years,Hispanic,At Least One Dose,79,69,114.49%
Antrim,20-29 years,Hispanic,Up-To-Date,21,69,30.43%
Antrim,20-29 years,NH White,At Least One Dose,913,1958,46.63%
Antrim,20-29 years,NH White,Up-To-Date,111,1958,5.67%
Antrim,30-39 years,Hispanic,At Least One Dose,58,63,92.06%
Antrim,30-39 years,Hispanic,Up-To-Date,24,63,38.1%
Antrim,30-39 years,NH White,At Least One Dose,951,2013,47.24%
Antrim,30-39 years,NH White,Up-To-Date,167,2013,8.3%
Antrim,40-49 years,NH White,At Least One Dose,1031,2086,49.42%
Antrim,40-49 years,NH White,Up-To-Date,194,2086,9.3%
Antrim,5-11 years,NH White,At Least One Dose,250,1335,18.73%
Antrim,5-11 years,NH White,Up-To-Date,36,1335,2.7%
Antrim,50-64 years,Hispanic,At Least One Dose,50,69,72.46%
Antrim,50-64 years,Hispanic,Up-To-Date,12,69,17.39%
Antrim,50-64 years,NH White,At Least One Dose,3019,5323,56.72%
Antrim,50-64 years,NH White,Up-To-Date,932,5323,17.51%
Antrim,65-74 years,NH White,At Least One Dose,2949,3689,79.94%
Antrim,65-74 years,NH White,Up-To-Date,1438,3689,38.98%
Antrim,75+ years,NH White,At Least One Dose,2594,2675,96.97%
Antrim,75+ years,NH White,Up-To-Date,1365,2675,51.03%
Antrim,under 5 years,NH White,At Least One Dose,62,818,7.58%
Antrim,under 5 years,NH White,Up-To-Date,11,818,1.34%
Arenac,12-15 years,NH White,At Least One Dose,113,567,19.93%
Arenac,16-19 years,NH White,At Least One Dose,154,545,28.26%
Arenac,16-19 years,NH White,Up-To-Date,16,545,2.94%
Arenac,20-29 years,NH White,At Least One Dose,448,1265,35.42%
Arenac,20-29 years,NH White,Up-To-Date,38,1265,3%
Arenac,30-39 years,NH White,At Least One Dose,500,1346,37.15%
Arenac,30-39 years,NH White,Up-To-Date,64,1346,4.75%
Arenac,40-49 years,NH White,At Least One Dose,601,1472,40.83%
Arenac,40-49 years,NH White,Up-To-Date,81,1472,5.5%
Arenac,5-11 years,NH White,At Least One Dose,90,954,9.43%
Arenac,5-11 years,NH White,Up-To-Date,15,954,1.57%
Arenac,50-64 years,NH White,At Least One Dose,1613,3388,47.61%
Arenac,50-64 years,NH White,Up-To-Date,382,3388,11.28%
Arenac,65-74 years,NH White,At Least One Dose,1619,2271,71.29%
Arenac,65-74 years,NH White,Up-To-Date,714,2271,31.44%
Arenac,75+ years,NH White,At Least One Dose,1331,1505,88.44%
Arenac,75+ years,NH White,Up-To-Date,644,1505,42.79%
Arenac,under 5 years,NH White,At Least One Dose,13,623,2.09%
Baraga,12-15 years,NH American Indian/Alaska Native,At Least One Dose,28,80,35%
Baraga,12-15 years,NH White,At Least One Dose,31,238,13.03%
Baraga,16-19 years,NH American Indian/Alaska Native,At Least One Dose,40,61,65.57%
Baraga,16-19 years,NH White,At Least One Dose,48,219,21.92%
Baraga,20-29 years,NH American Indian/Alaska Native,At Least One Dose,101,161,62.73%
Baraga,20-29 years,NH White,At Least One Dose,141,534,26.4%
Baraga,30-39 years,NH American Indian/Alaska Native,At Least One Dose,109,112,97.32%
Baraga,30-39 years,NH White,At Least One Dose,127,535,23.74%
Baraga,30-39 years,NH White,Up-To-Date,12,535,2.24%
Baraga,40-49 years,NH American Indian/Alaska Native,At Least One Dose,107,125,85.6%
Baraga,40-49 years,NH White,At Least One Dose,164,639,25.67%
Baraga,40-49 years,NH White,Up-To-Date,13,639,2.03%
Baraga,5-11 years,NH American Indian/Alaska Native,At Least One Dose,14,102,13.73%
Baraga,5-11 years,NH White,At Least One Dose,29,351,8.26%
Baraga,50-64 years,NH American Indian/Alaska Native,At Least One Dose,203,225,90.22%
Baraga,50-64 years,NH White,At Least One Dose,498,1362,36.56%
Baraga,50-64 years,NH White,Up-To-Date,114,1362,8.37%
Baraga,65-74 years,NH American Indian/Alaska Native,At Least One Dose,113,81,139.51%
Baraga,65-74 years,NH White,At Least One Dose,463,987,46.91%
Baraga,65-74 years,NH White,Up-To-Date,180,987,18.24%
Baraga,75+ years,NH American Indian/Alaska Native,At Least One Dose,66,65,101.54%
Baraga,75+ years,NH White,At Least One Dose,446,696,64.08%
Baraga,75+ years,NH White,Up-To-Date,160,696,22.99%
Barry,12-15 years,Hispanic,At Least One Dose,41,183,22.4%
Barry,12-15 years,NH White,At Least One Dose,823,2832,29.06%
Barry,12-15 years,NH White,Up-To-Date,139,2832,4.91%
Barry,16-19 years,Hispanic,At Least One Dose,100,168,59.52%
Barry,16-19 years,Hispanic,Up-To-Date,11,168,6.55%
Barry,16-19 years,NH White,At Least One Dose,1033,2692,38.37%
Barry,16-19 years,NH White,Up-To-Date,151,2692,5.61%
Barry,20-29 years,Hispanic,At Least One Dose,132,330,40%
Barry,20-29 years,Hispanic,Up-To-Date,18,330,5.45%
Barry,20-29 years,NH White,At Least One Dose,2454,6174,39.75%
Barry,20-29 years,NH White,Up-To-Date,285,6174,4.62%
Barry,30-39 years,Hispanic,At Least One Dose,120,298,40.27%
Barry,30-39 years,Hispanic,Up-To-Date,15,298,5.03%
Barry,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,24,55,43.64%
Barry,30-39 years,NH White,At Least One Dose,2640,6676,39.54%
Barry,30-39 years,NH White,Up-To-Date,453,6676,6.79%
Barry,40-49 years,Hispanic,At Least One Dose,130,287,45.3%
Barry,40-49 years,Hispanic,Up-To-Date,21,287,7.32%
Barry,40-49 years,NH White,At Least One Dose,2923,6497,44.99%
Barry,40-49 years,NH White,Up-To-Date,615,6497,9.47%
Barry,5-11 years,Hispanic,At Least One Dose,42,307,13.68%
Barry,5-11 years,NH White,At Least One Dose,794,4664,17.02%
Barry,5-11 years,NH White,Up-To-Date,150,4664,3.22%
Barry,50-64 years,Hispanic,At Least One Dose,195,259,75.29%
Barry,50-64 years,Hispanic,Up-To-Date,54,259,20.85%
Barry,50-64 years,NH White,At Least One Dose,6824,12948,52.7%
Barry,50-64 years,NH White,Up-To-Date,2029,12948,15.67%
Barry,65-74 years,Hispanic,At Least One Dose,105,83,126.51%
Barry,65-74 years,Hispanic,Up-To-Date,52,83,62.65%
Barry,65-74 years,NH White,At Least One Dose,5034,6824,73.77%
Barry,65-74 years,NH White,Up-To-Date,2444,6824,35.81%
Barry,75+ years,Hispanic,At Least One Dose,53,53,100%
Barry,75+ years,Hispanic,Up-To-Date,20,53,37.74%
Barry,75+ years,NH White,At Least One Dose,4197,4471,93.87%
Barry,75+ years,NH White,Up-To-Date,2154,4471,48.18%
Barry,under 5 years,NH White,At Least One Dose,154,2995,5.14%
Barry,under 5 years,NH White,Up-To-Date,20,2995,0.67%
Bay,12-15 years,Hispanic,At Least One Dose,108,517,20.89%
Bay,12-15 years,NH Black,At Least One Dose,37,136,27.21%
Bay,12-15 years,NH White,At Least One Dose,1363,4104,33.21%
Bay,12-15 years,NH White,Up-To-Date,164,4104,4%
Bay,16-19 years,Hispanic,At Least One Dose,208,410,50.73%
Bay,16-19 years,Hispanic,Up-To-Date,12,410,2.93%
Bay,16-19 years,NH Black,At Least One Dose,46,119,38.66%
Bay,16-19 years,NH White,At Least One Dose,1928,3845,50.14%
Bay,16-19 years,NH White,Up-To-Date,161,3845,4.19%
Bay,20-29 years,Hispanic,At Least One Dose,331,943,35.1%
Bay,20-29 years,Hispanic,Up-To-Date,36,943,3.82%
Bay,20-29 years,NH American Indian/Alaska Native,At Least One Dose,40,52,76.92%
Bay,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,60,67,89.55%
Bay,20-29 years,NH Black,At Least One Dose,158,277,57.04%
Bay,20-29 years,NH Black,Up-To-Date,11,277,3.97%
Bay,20-29 years,NH White,At Least One Dose,5135,10492,48.94%
Bay,20-29 years,NH White,Up-To-Date,462,10492,4.4%
Bay,30-39 years,Hispanic,At Least One Dose,242,821,29.48%
Bay,30-39 years,Hispanic,Up-To-Date,36,821,4.38%
Bay,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,56,89,62.92%
Bay,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,12,89,13.48%
Bay,30-39 years,NH Black,At Least One Dose,142,212,66.98%
Bay,30-39 years,NH Black,Up-To-Date,18,212,8.49%
Bay,30-39 years,NH White,At Least One Dose,5273,10535,50.05%
Bay,30-39 years,NH White,Up-To-Date,690,10535,6.55%
Bay,40-49 years,Hispanic,At Least One Dose,280,684,40.94%
Bay,40-49 years,Hispanic,Up-To-Date,45,684,6.58%
Bay,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,49,73,67.12%
Bay,40-49 years,NH Black,At Least One Dose,101,136,74.26%
Bay,40-49 years,NH Black,Up-To-Date,15,136,11.03%
Bay,40-49 years,NH White,At Least One Dose,5683,10528,53.98%
Bay,40-49 years,NH White,Up-To-Date,976,10528,9.27%
Bay,5-11 years,Hispanic,At Least One Dose,97,841,11.53%
Bay,5-11 years,NH Black,At Least One Dose,25,221,11.31%
Bay,5-11 years,NH White,At Least One Dose,1125,6257,17.98%
Bay,5-11 years,NH White,Up-To-Date,115,6257,1.84%
Bay,50-64 years,Hispanic,At Least One Dose,449,705,63.69%
Bay,50-64 years,Hispanic,Up-To-Date,107,705,15.18%
Bay,50-64 years,NH American Indian/Alaska Native,At Least One Dose,60,83,72.29%
Bay,50-64 years,NH American Indian/Alaska Native,Up-To-Date,14,83,16.87%
Bay,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,75,103,72.82%
Bay,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,22,103,21.36%
Bay,50-64 years,NH Black,At Least One Dose,173,222,77.93%
Bay,50-64 years,NH Black,Up-To-Date,51,222,22.97%
Bay,50-64 years,NH White,At Least One Dose,12679,20275,62.54%
Bay,50-64 years,NH White,Up-To-Date,3467,20275,17.1%
Bay,65-74 years,Hispanic,At Least One Dose,238,334,71.26%
Bay,65-74 years,Hispanic,Up-To-Date,115,334,34.43%
Bay,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,32,60,53.33%
Bay,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,20,60,33.33%
Bay,65-74 years,NH Black,At Least One Dose,95,76,125%
Bay,65-74 years,NH Black,Up-To-Date,41,76,53.95%
Bay,65-74 years,NH White,At Least One Dose,10206,11921,85.61%
Bay,65-74 years,NH White,Up-To-Date,4877,11921,40.91%
Bay,75+ years,Hispanic,At Least One Dose,156,179,87.15%
Bay,75+ years,Hispanic,Up-To-Date,55,179,30.73%
Bay,75+ years,NH White,At Least One Dose,8692,8758,99.25%
Bay,75+ years,NH White,Up-To-Date,4213,8758,48.1%
Bay,under 5 years,NH White,At Least One Dose,121,4091,2.96%
Bay,under 5 years,NH White,Up-To-Date,35,4091,0.86%
Benzie,12-15 years,NH White,At Least One Dose,246,667,36.88%
Benzie,12-15 years,NH White,Up-To-Date,47,667,7.05%
Benzie,16-19 years,NH White,At Least One Dose,322,643,50.08%
Benzie,16-19 years,NH White,Up-To-Date,40,643,6.22%
Benzie,20-29 years,Hispanic,At Least One Dose,39,66,59.09%
Benzie,20-29 years,NH White,At Least One Dose,747,1474,50.68%
Benzie,20-29 years,NH White,Up-To-Date,77,1474,5.22%
Benzie,30-39 years,Hispanic,At Least One Dose,40,61,65.57%
Benzie,30-39 years,NH White,At Least One Dose,862,1791,48.13%
Benzie,30-39 years,NH White,Up-To-Date,146,1791,8.15%
Benzie,40-49 years,Hispanic,At Least One Dose,28,50,56%
Benzie,40-49 years,NH White,At Least One Dose,1004,1679,59.8%
Benzie,40-49 years,NH White,Up-To-Date,225,1679,13.4%
Benzie,5-11 years,Hispanic,At Least One Dose,11,59,18.64%
Benzie,5-11 years,NH White,At Least One Dose,284,1081,26.27%
Benzie,5-11 years,NH White,Up-To-Date,36,1081,3.33%
Benzie,50-64 years,Hispanic,At Least One Dose,45,56,80.36%
Benzie,50-64 years,Hispanic,Up-To-Date,12,56,21.43%
Benzie,50-64 years,NH American Indian/Alaska Native,At Least One Dose,32,52,61.54%
Benzie,50-64 years,NH American Indian/Alaska Native,Up-To-Date,11,52,21.15%
Benzie,50-64 years,NH White,At Least One Dose,2371,3863,61.38%
Benzie,50-64 years,NH White,Up-To-Date,738,3863,19.1%
Benzie,65-74 years,NH White,At Least One Dose,2338,2718,86.02%
Benzie,65-74 years,NH White,Up-To-Date,1209,2718,44.48%
Benzie,75+ years,NH White,At Least One Dose,2033,1967,103.36%
Benzie,75+ years,NH White,Up-To-Date,1010,1967,51.35%
Benzie,under 5 years,NH White,At Least One Dose,61,729,8.37%
Benzie,under 5 years,NH White,Up-To-Date,11,729,1.51%
Berrien,12-15 years,Hispanic,At Least One Dose,271,775,34.97%
Berrien,12-15 years,Hispanic,Up-To-Date,27,775,3.48%
Berrien,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,80,140,57.14%
Berrien,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,15,140,10.71%
Berrien,12-15 years,NH Black,At Least One Dose,324,1434,22.59%
Berrien,12-15 years,NH Black,Up-To-Date,30,1434,2.09%
Berrien,12-15 years,NH White,At Least One Dose,1494,4949,30.19%
Berrien,12-15 years,NH White,Up-To-Date,214,4949,4.32%
Berrien,16-19 years,Hispanic,At Least One Dose,462,682,67.74%
Berrien,16-19 years,Hispanic,Up-To-Date,50,682,7.33%
Berrien,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,81,197,41.12%
Berrien,16-19 years,NH Black,At Least One Dose,444,1323,33.56%
Berrien,16-19 years,NH Black,Up-To-Date,43,1323,3.25%
Berrien,16-19 years,NH White,At Least One Dose,2205,4700,46.91%
Berrien,16-19 years,NH White,Up-To-Date,240,4700,5.11%
Berrien,20-29 years,Hispanic,At Least One Dose,1094,1383,79.1%
Berrien,20-29 years,Hispanic,Up-To-Date,61,1383,4.41%
Berrien,20-29 years,NH American Indian/Alaska Native,At Least One Dose,65,112,58.04%
Berrien,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,364,576,63.19%
Berrien,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,31,576,5.38%
Berrien,20-29 years,NH Black,At Least One Dose,1131,3301,34.26%
Berrien,20-29 years,NH Black,Up-To-Date,85,3301,2.57%
Berrien,20-29 years,NH White,At Least One Dose,5180,11655,44.44%
Berrien,20-29 years,NH White,Up-To-Date,558,11655,4.79%
Berrien,30-39 years,Hispanic,At Least One Dose,1098,1316,83.43%
Berrien,30-39 years,Hispanic,Up-To-Date,97,1316,7.37%
Berrien,30-39 years,NH American Indian/Alaska Native,At Least One Dose,50,78,64.1%
Berrien,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,354,566,62.54%
Berrien,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,51,566,9.01%
Berrien,30-39 years,NH Black,At Least One Dose,1023,2474,41.35%
Berrien,30-39 years,NH Black,Up-To-Date,95,2474,3.84%
Berrien,30-39 years,NH White,At Least One Dose,5962,12565,47.45%
Berrien,30-39 years,NH White,Up-To-Date,982,12565,7.82%
Berrien,40-49 years,Hispanic,At Least One Dose,918,1068,85.96%
Berrien,40-49 years,Hispanic,Up-To-Date,168,1068,15.73%
Berrien,40-49 years,NH American Indian/Alaska Native,At Least One Dose,44,89,49.44%
Berrien,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,358,498,71.89%
Berrien,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,53,498,10.64%
Berrien,40-49 years,NH Black,At Least One Dose,1197,2357,50.78%
Berrien,40-49 years,NH Black,Up-To-Date,142,2357,6.02%
Berrien,40-49 years,NH White,At Least One Dose,6503,12640,51.45%
Berrien,40-49 years,NH White,Up-To-Date,1223,12640,9.68%
Berrien,5-11 years,Hispanic,At Least One Dose,240,1392,17.24%
Berrien,5-11 years,Hispanic,Up-To-Date,19,1392,1.36%
Berrien,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,91,261,34.87%
Berrien,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,14,261,5.36%
Berrien,5-11 years,NH Black,At Least One Dose,343,2589,13.25%
Berrien,5-11 years,NH Black,Up-To-Date,31,2589,1.2%
Berrien,5-11 years,NH White,At Least One Dose,1668,7960,20.95%
Berrien,5-11 years,NH White,Up-To-Date,270,7960,3.39%
Berrien,50-64 years,Hispanic,At Least One Dose,1048,1065,98.4%
Berrien,50-64 years,Hispanic,Up-To-Date,219,1065,20.56%
Berrien,50-64 years,NH American Indian/Alaska Native,At Least One Dose,81,145,55.86%
Berrien,50-64 years,NH American Indian/Alaska Native,Up-To-Date,27,145,18.62%
Berrien,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,354,483,73.29%
Berrien,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,94,483,19.46%
Berrien,50-64 years,NH Black,At Least One Dose,2469,3417,72.26%
Berrien,50-64 years,NH Black,Up-To-Date,559,3417,16.36%
Berrien,50-64 years,NH White,At Least One Dose,14724,25174,58.49%
Berrien,50-64 years,NH White,Up-To-Date,3732,25174,14.82%
Berrien,65-74 years,Hispanic,At Least One Dose,400,328,121.95%
Berrien,65-74 years,Hispanic,Up-To-Date,158,328,48.17%
Berrien,65-74 years,NH American Indian/Alaska Native,At Least One Dose,52,76,68.42%
Berrien,65-74 years,NH American Indian/Alaska Native,Up-To-Date,19,76,25%
Berrien,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,164,208,78.85%
Berrien,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,54,208,25.96%
